Setting logging level to DEBUG
2023-10-05 09:27:04.412+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index0/coherency_line_size
2023-10-05 09:27:04.413+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index0/size
2023-10-05 09:27:04.413+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index0/size
2023-10-05 09:27:04.414+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/level
2023-10-05 09:27:04.414+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/level
2023-10-05 09:27:04.415+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/type
2023-10-05 09:27:04.415+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/type
2023-10-05 09:27:04.416+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/ways_of_associativity
2023-10-05 09:27:04.416+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/ways_of_associativity
2023-10-05 09:27:04.417+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/coherency_line_size
2023-10-05 09:27:04.417+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/coherency_line_size
2023-10-05 09:27:04.417+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/size
2023-10-05 09:27:04.418+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index3/size
2023-10-05 09:27:04.418+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/level
2023-10-05 09:27:04.419+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/level
2023-10-05 09:27:04.419+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/type
2023-10-05 09:27:04.420+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/type
2023-10-05 09:27:04.420+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/ways_of_associativity
2023-10-05 09:27:04.421+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/ways_of_associativity
2023-10-05 09:27:04.421+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/coherency_line_size
2023-10-05 09:27:04.422+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/coherency_line_size
2023-10-05 09:27:04.422+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/size
2023-10-05 09:27:04.423+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu1/cache/index1/size
2023-10-05 09:27:04.424+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/topology/core_id
2023-10-05 09:27:04.426+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/topology/core_id
2023-10-05 09:27:04.426+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/topology/physical_package_id
2023-10-05 09:27:04.427+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/topology/physical_package_id
2023-10-05 09:27:04.427+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cpu_capacity
2023-10-05 09:27:04.428+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/level
2023-10-05 09:27:04.429+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/level
2023-10-05 09:27:04.429+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/type
2023-10-05 09:27:04.430+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/type
2023-10-05 09:27:04.430+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/ways_of_associativity
2023-10-05 09:27:04.430+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/ways_of_associativity
2023-10-05 09:27:04.431+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/coherency_line_size
2023-10-05 09:27:04.434+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/coherency_line_size
2023-10-05 09:27:04.435+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/size
2023-10-05 09:27:04.436+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index2/size
2023-10-05 09:27:04.436+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/level
2023-10-05 09:27:04.437+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/level
2023-10-05 09:27:04.437+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/type
2023-10-05 09:27:04.441+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/type
2023-10-05 09:27:04.441+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/ways_of_associativity
2023-10-05 09:27:04.442+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/ways_of_associativity
2023-10-05 09:27:04.442+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/coherency_line_size
2023-10-05 09:27:04.443+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/coherency_line_size
2023-10-05 09:27:04.443+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/size
2023-10-05 09:27:04.444+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index0/size
2023-10-05 09:27:04.445+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/level
2023-10-05 09:27:04.448+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/level
2023-10-05 09:27:04.448+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/type
2023-10-05 09:27:04.449+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/type
2023-10-05 09:27:04.449+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/ways_of_associativity
2023-10-05 09:27:04.450+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/ways_of_associativity
2023-10-05 09:27:04.451+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/coherency_line_size
2023-10-05 09:27:04.452+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/coherency_line_size
2023-10-05 09:27:04.452+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/size
2023-10-05 09:27:04.455+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index3/size
2023-10-05 09:27:04.456+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/level
2023-10-05 09:27:04.456+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/level
2023-10-05 09:27:04.457+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/type
2023-10-05 09:27:04.457+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/type
2023-10-05 09:27:04.467+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/ways_of_associativity
2023-10-05 09:27:04.467+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/ways_of_associativity
2023-10-05 09:27:04.468+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/coherency_line_size
2023-10-05 09:27:04.468+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/coherency_line_size
2023-10-05 09:27:04.469+00:00 | main | DEBUG | FileUtil | Reading file /sys/devices/system/cpu/cpu10/cache/index1/size
